"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2024","1,295.13","1,290.28","1,303.43","1,286.57","4.03M","0.21%"
"29-12-2023","1,292.47","1,305.55","1,307.00","1,289.65","10.86M","-0.79%"
"28-12-2023","1,302.78","1,294.90","1,306.00","1,293.43","12.30M","0.72%"
"27-12-2023","1,293.43","1,291.00","1,299.95","1,286.55","9.20M","0.34%"
"26-12-2023","1,289.03","1,284.00","1,295.97","1,281.35","7.47M","0.51%"
"22-12-2023","1,282.53","1,279.80","1,290.45","1,273.82","16.54M","0.10%"
"21-12-2023","1,281.28","1,263.50","1,286.75","1,259.13","13.77M","1.40%"
"20-12-2023","1,263.57","1,285.53","1,299.43","1,260.00","17.74M","-1.21%"
"19-12-2023","1,279.05","1,277.50","1,286.95","1,262.60","16.82M","1.47%"
"18-12-2023","1,260.50","1,247.80","1,267.45","1,245.47","14.17M","1.02%"
"15-12-2023","1,247.80","1,239.00","1,250.00","1,235.03","15.93M","1.28%"
"14-12-2023","1,232.07","1,227.00","1,237.47","1,221.32","16.97M","1.24%"
"13-12-2023","1,216.97","1,211.00","1,219.18","1,203.15","10.03M","0.41%"
"12-12-2023","1,212.03","1,230.00","1,232.47","1,210.07","9.20M","-1.44%"
"11-12-2023","1,229.68","1,228.00","1,233.80","1,226.20","7.07M","0.15%"
"08-12-2023","1,227.88","1,231.93","1,238.35","1,222.50","10.20M","-0.05%"
"07-12-2023","1,228.53","1,230.00","1,230.47","1,221.00","8.14M","-0.16%"
"06-12-2023","1,230.55","1,223.55","1,236.47","1,217.50","16.42M","0.96%"
"05-12-2023","1,218.88","1,219.50","1,220.43","1,210.82","12.69M","0.73%"
"04-12-2023","1,210.10","1,225.00","1,225.00","1,199.30","15.59M","1.08%"
"01-12-2023","1,197.15","1,189.00","1,198.20","1,188.80","14.34M","0.71%"
"30-11-2023","1,188.72","1,197.35","1,200.35","1,184.95","28.44M","-0.97%"
"29-11-2023","1,200.35","1,204.00","1,205.97","1,199.03","12.53M","0.26%"
"28-11-2023","1,197.20","1,196.95","1,199.85","1,187.63","13.79M","0.02%"
"24-11-2023","1,196.95","1,195.80","1,201.30","1,195.53","6.75M","-0.07%"
"23-11-2023","1,197.75","1,194.10","1,200.00","1,194.10","8.53M","0.31%"
"22-11-2023","1,194.10","1,187.50","1,197.22","1,186.10","8.53M","0.39%"
"21-11-2023","1,189.45","1,183.00","1,194.00","1,180.10","8.21M","1.26%"
"20-11-2023","1,174.68","1,174.28","1,179.20","1,168.20","4.49M","-0.26%"
"17-11-2023","1,177.78","1,176.45","1,186.63","1,176.03","7.76M","-0.22%"
"16-11-2023","1,180.35","1,175.55","1,187.07","1,173.47","13.13M","0.18%"
"15-11-2023","1,178.22","1,170.00","1,180.97","1,163.50","12.22M","1.81%"
"13-11-2023","1,157.30","1,161.45","1,162.30","1,155.85","3.85M","-0.69%"
"12-11-2023","1,165.33","1,163.03","1,166.00","1,161.25","1.42M","0.68%"
"10-11-2023","1,157.45","1,152.78","1,158.18","1,149.03","7.73M","0.19%"
"09-11-2023","1,155.28","1,167.93","1,167.95","1,152.10","14.51M","-1.09%"
